Date,Location,Starting Time,Ending Time,Duration,Starting km,Ending km,km added,Claimed kW,Claimed Amp,km/hr,kWh added,Fully Charged,Full km,Charging Fee,Parking Fee,$/kW,$/km,Odometer,Maintenance,Remarks
2024-02-20,Mai Po,13:25:00,14:35:00,01:10:00,,,,,32.0,,8.0,,,,,,,,,Delivery self pick-up at Tsing Yi Office.  Battery 80%
2024-02-22,Olympian City,,,03:20:00,,,,11.0,,,28.0,Yes,435.0,,,,,,,Sentry Mode: 9hrs 15mins 15km
2024-02-24,Olympian City,,,00:54:00,,,,11.0,,,8.0,,,,,,,,,
2024-02-24,We Go Mall,,,00:25:00,,,,7.0,,,3.0,,,,,,,,,
2024-02-25,Mai Po,,,01:10:00,,,,,16.0,,11.0,,,,,,,,,"Sentry Mode: 2hrs 6km, 7hrs 12km, 10hrs 17km. "
2024-02-27,Tsuen Wan Plaza,,,00:15:00,,,,60.0,,,14.0,,,,,,,,,
2024-02-27,Olympian City,,,01:20:00,,,,11.0,,,10.0,,,,,,,,,
2024-02-28,Olympian City,,,03:00:00,,,195.0,10.0,,,27.0,,,,,,,,,Sentry Mode: 1340hrs at 383km
2024-02-29,Gold Coast - Tesla,,,01:00:00,,,,6.0,32.0,,6.0,,,,,,,,,
2024-03-01,Mai Po,,,04:50:00,,,,,16.0,,40.0,Yes,435.0,,,,,,,
2024-03-02,Olympian City,,,01:15:00,,,,11.0,,,8.0,Yes,435.0,,,,,,,
2024-03-05,Olympian City,,,01:27:00,,,,11.0,,,11.0,,,,,,,,,
2024-03-07,VWalk supercharge,,,00:12:00,,,113.0,63.0,,,17.0,,,47.6,,,,,,
2024-03-08,VWalk,,,00:30:00,,,,59.0,,,24.0,,,,,,,,,
2024-03-09,Olympian City,,,01:00:00,,,,,12.0,,8.0,,,,,,,,,
2024-03-12,VWalk,,,00:30:00,,,167.0,59.0,,,23.0,,,,,,,,,
2024-03-13,Mai Po,,,01:20:00,,,83.0,11.0,,,12.0,Yes,435.0,,,,,,,
2024-03-15,VWalk,,,00:25:00,,,115.0,59.0,,,16.0,Yes,435.0,,,,,,,
2024-03-16,Olympian City,,,01:10:00,,,48.0,,11.0,,6.0,Yes,435.0,,,,,,,
2024-03-16,Olympian City,,,01:08:00,,,48.0,,11.0,,9.0,Yes,435.0,,,,,,,
2024-03-17,Mai Po,,,00:50:00,,,66.0,11.0,,,,Yes,435.0,,,,,,,No record in app
2024-03-18,Olympian City,,,02:30:00,,,113.0,,11.0,,18.0,Yes,435.0,,,,,,,
2024-03-21,VWalk,,,00:30:00,,,,59.0,,,25.0,,,,,,,,,
2024-03-23,Olympian City,,,01:20:00,,,97.0,,16.0,,13.0,,,,,,,,,
2024-03-23,Olympian City,,,01:30:00,,,95.0,,15.0,,13.0,Yes,435.0,,,,,,,
2024-04-02,New Martin Garage ,,,00:00:00,,,130.0,,16.0,,18.0,Yes,435.0,,,,,,,
2024-04-05,The Peak,,,03:00:00,,,210.0,10.0,,,28.0,,,,,,,,,
2024-04-06,Olympian City,,,01:10:00,,,75.0,,16.0,,10.0,Yes,435.0,,,,,,,
2024-04-07,Mai Po,,,00:54:00,,,54.0,,16.0,,8.0,Yes,435.0,,,,,,,
2024-04-10,Olympian City,,,02:49:00,,,183.0,,16.0,,25.0,,,,,,,,,
2024-04-12,Mai Po - Single Phase,,,04:05:00,,,168.0,,32.0,45.0,23.0,Yes,435.0,,,,,,,
2024-04-13,Olympian City,,,01:08:00,,,48.0,,16.0,,7.0,Yes,435.0,,,,,,,
2024-04-17,VWalk,,,00:30:00,,,212.0,59.0,,429.0,29.0,,,,,,,,,
2024-04-17,Olympian City,,,00:55:00,,,63.0,,16.0,72.0,9.0,,,,,,,,,
2024-04-20,Olympian City,,,01:13:00,,,73.0,,16.0,54.0,10.0,,,,,,,,,
2024-04-20,Olympian City,,,02:56:00,,,151.0,,11.0,49.0,21.0,,,,,,,,,
2024-04-23,VWalk,,,00:22:00,,,156.0,59.0,,428.0,22.0,,,,,,,,,
2024-04-25,Olympian City,,,01:06:00,,,72.0,,15.0,69.0,10.0,,,,,,,,,
2024-04-26,VWalk supercharge,,,00:41:00,,,243.0,70.0,,511.0,34.0,,,62.9,,,,,,
2024-04-26,Olympian City,,,00:32:00,,,20.0,,12.0,54.0,3.0,Yes,430.0,,,,,,,
2024-04-28,Mai Po,,,00:56:00,,,65.0,,16.0,70.0,9.0,,,,,,,,,
2024-04-29,Mikiki,,,00:45:00,,,298.0,59.0,,429.0,41.0,,,,,,,,,
2024-04-29,Olympian City,,,00:49:00,,,42.0,,11.0,50.0,6.0,,,,,,,,,
2024-05-01,Airside,,,01:15:00,,,90.0,,16.0,72.0,12.0,,,30,,,,,,
2024-05-02,Mikiki ,,,00:30:00,,,163.0,59.0,,423.0,23.0,,,,,,,,,
2024-05-04,Mikiki supercharge,,,00:23:00,,,149.0,68.0,,456.0,22.0,,,61.6,,,,,,
2024-05-04,Olympian City,,,01:20:00,,,85.0,,13.0,58.0,12.0,Yes,435.0,,,,,,,
2024-05-05,Gold Coast ,,,01:17:00,,,78.0,,16.0,71.0,11.0,Yes,435.0,,,,,,,
2024-05-08,Mikiki ,,,00:30:00,,,218.0,59.0,,430.0,30.0,,,,,,,,,
2024-05-08,New Town Plaza 3,,,00:15:00,,,71.0,59.0,,425.0,10.0,,,,,,,,,
2024-05-11,Olympian City,,,01:17:00,,,79.0,,14.0,43.0,11.0,,,,,,,,,
2024-05-12,New Town Plaza 3,,,00:30:00,,,188.0,59.0,,428.0,26.0,,,,28.0,,,,,
2024-05-12,Mai Po,,,02:55:00,,,182.0,,16.0,62.0,27.0,,,,,,,,,
2024-05-14,Science Park ,,,02:32:00,,,85.0,,32.0,33.0,12.0,,,,,,,,,
2024-05-16,Mikiki ,,,00:27:00,,,132.0,59.0,,430.0,27.0,,,,,,,,,
2024-05-18,Olympian City,,,01:03:00,,,53.0,,11.0,50.0,7.0,,,,,,,,,
2024-05-18,Tai Po Mega City,,,00:30:00,,,165.0,59.0,,420.0,23.0,,,,,,,,,
2024-05-19,Mai Po,,,01:25:00,,,97.0,,16.0,70.0,13.0,Yes,434.0,,,,,,,
2024-05-20,New Town Plaza 3,,,00:15:00,,,92.0,59.0,,428.0,13.0,,,,,,,,,
2024-05-23,Mikiki,,,00:30:00,,,189.0,59.0,,415.0,26.0,,,,,,,,,
2024-05-24,Olympian City,,,00:44:00,,,50.0,,16.0,71.0,7.0,,,,,,,,,
2024-05-25,Olympian City,,,01:11:00,,,,,11.0,50.0,,,,,,,,,,
2024-05-25,Olympian City,,,02:14:00,,,132.0,,15.0,69.0,,Yes,433.0,,,,,,,
2024-05-29,Nina Mall 1,,,00:30:00,,,159.0,50.0,,341.0,22.0,,,40,,,,,,
2024-06-01,Olympian City,,,00:00:00,,,,,11.0,,,Yes,433.0,,,,,,,
2024-06-02,Mai Po,,,00:00:00,,,,,16.0,,,Yes,433.0,,,,,,,
2024-06-04,One Pacific ,,,00:00:00,,,151.0,,16.0,74.0,,Yes,433.0,,,,,,,
2024-06-08,Elements North ,,,00:00:00,,,,,13.0,,,,,,,,,,,
2024-06-24,VWalk,,,00:00:00,,,,59.0,,,,Yes,432.0,,,,,,,
2024-06-26,圍方,,,00:00:00,,,,,16.0,57.0,,Yes,432.0,,,,,,,
2024-06-27,Olympian City,,,00:00:00,,,,,11.0,,,Yes,432.0,,,,,,,
2024-07-03,Olympian City,,,00:00:00,,,,,10.0,,,Yes,431.0,,,,,,,
2024-07-09,VWalk,,,00:19:00,,,60.0,59.0,,,8.0,Yes,431.0,,,,,,,
2024-07-10,Olympian City,,,00:00:00,,,90.0,,11.0,,,Yes,431.0,,,,,,,
2024-07-14,Mai Po,,,00:00:00,,,,,16.0,,,Yes,431.0,,,,,,,
2024-07-17,The One ,,,00:00:00,,,,,32.0,,,Yes,431.0,,,,,,,
2024-07-20,Olympian City,,,00:00:00,,,,,15.0,,,Yes,431.0,,,,,,,
2024-07-30,VWalk,,,00:45:00,,,196.0,59.0,,,27.0,Yes,431.0,,,,,10213.0,,
2024-08-05,Olympian City,,,00:00:00,,,,,16.0,,,Yes,430.0,,,,,,,
2024-08-13,VWalk,,,00:34:00,,,149.0,59.0,,,21.0,Yes,429.0,,,,,,,
2024-08-15,Olympian City,,,01:40:00,,,97.0,,13.0,,,Yes,429.0,,,,,,,
2024-08-16,Mai Po,,,00:00:00,,,58.0,,32.0,,,Yes,430.0,,,,,,,
2024-08-29,Olympian City,,,02:51:00,,,161.0,,13.0,,22.0,Yes,429.0,,,,,,,
2024-09-15,Mai Po,,,00:00:00,,,100.0,,32.0,,,Yes,427.0,,,,,,,
2024-09-20,Cornerstone SSP Sports Ground,,,02:45:00,,,,7.0,,,17.76,,,47.95,,2.7,,,,
2024-09-12,Thomas home,,,00:00:00,,,,,32.0,,,Yes,428.0,,,,,,,
2024-10-30,Olympian City,,,00:00:00,,,280.0,,16.0,,39.0,Yes,428.0,,,,,,,
2024-11-01,Olympian City,,,00:00:00,,,152.0,,16.0,,21.0,Yes,428.0,,,,,,,
2024-11-02,Olympian City,,,00:00:00,,,74.0,,12.0,,,Yes,428.0,,,,,,,
2024-11-08,One Pacific Centre,,,00:00:00,,,,,16.0,,21.0,Yes,423.0,,,,,,,
2024-11-09,Olympian City,,,00:00:00,,,47.0,,15.0,,,Yes,427.0,,,,,,,
2024-11-27,Olympian City,,,00:00:00,,,134.0,,14.0,,18.0,Yes,432.0,,,,,,,
2024-11-29,Regal Riverside Hotel,,,00:00:00,,,157.0,,16.0,,22.0,Yes,431.0,,,,,,,
2024-12-06,Mai Po,,,00:00:00,,,228.0,,32.0,,31.0,Yes,431.0,,,,,,,
2024-12-19,Mina Mall 1,,,00:00:00,,,,,,,15.0,,,50,,3.3,,,,
2024-12-23,Yoho Mall I,,,00:00:00,,,,,,,10.907,,,40.35,,3.7,,,,
2024-12-24,Mai Po,,,07:10:00,,,327.0,,32.0,44.0,46.0,Yes,421.0,,,,,,,
2024-12-27,圍方,,,02:45:00,,,191.0,,16.0,71.0,27.0,Yes,429.0,,,,,,,
2024-12-31,WM Hotel,,,00:00:00,,,19.0,,16.0,,,Yes,429.0,,,,,,,
2024-12-31,Mai Po,,,00:39:00,,,41.0,,32.0,,,Yes,430.0,,,,,,,
2025-01-04,Olympian City,,,01:17:00,,,87.0,,16.0,73.0,12.0,Yes,430.0,27.59,,2.3,,19440.0,,
2025-01-08,圍方,,,03:30:00,,,257.0,,16.0,70.0,36.0,Yes,430.0,,,,,20027.0,,
2025-01-18,Shatin Service Centre ,,,00:00:00,,,,58.0,,348.0,,,,,,,,20227.0,Yes,"Bluetooth disconnects when connecting with calls.  That was a software problem and reinstalled, then no faulty alert.  Charge a few to 94% after repair. "
2025-01-23,Shatin Service Centre ,,,00:00:00,,,,58.0,,,6.0,,,,,,,,Yes,"2025.01.21，1829hrs, made a phone call in the car. The Bluetooth connecting to the cabin was suddenly disconnected when the phone was still ringing. Message was popped up in the screen to choose if the call needs to be transferred to the cabin. The same problem exists. At 1829hrs, 21 Jan, I made a phone call when the Bluetooth was connected to the cabin. It discounted while the phone was still ringing, but the call was not ended. 2 seconds later the screen popped up a message to ask me if I needed to transfer the call to the cabin. 
Last problem is not solved. It is extremely dangerous to such situation while I am driving as it is extremely disturbing and affects my attention on the road. "
2025-01-25,VWalk ,,,00:27:00,,,108.0,59.0,,397.0,6.0,Yes,418.0,,,,,,,
2025-01-29,Mai Po,,,02:33:00,,,187.0,,16.0,,27.0,Yes,428.0,,,,,,,
2025-01-30,Mai Po,,,02:01:00,,,90.0,,32.0,,12.0,Yes,429.0,,,,,,,
2025-02-03,Mai Po,,,01:00:00,,,67.0,,16.0,,9.0,Yes,429.0,,,,,21058.0,,
2025-02-08,Mai Po,,,03:58:00,,,288.0,,16.0,,40.0,Yes,429.0,,,,,21486.0,,
2025-02-15,Mai Po,,,03:53:00,,,281.0,,16.0,70.0,39.0,Yes,428.0,,,,,,,
2025-02-22,Mai Po,,,04:05:00,,,288.0,,16.0,,39.0,Yes,429.0,,,,,22445.0,,
2025-03-05,Mai Po,,,01:21:00,,,111.0,,16.0,,15.0,Yes,428.0,,,,,,,
2025-03-08,Mai Po,,,00:00:00,,,116.0,,16.0,,,Yes,428.0,,,,,,,
2025-03-20,Mai Po,,,01:25:00,,,110.0,,16.0,,15.0,Yes,428.0,,,,,,,
2025-03-22,Mai Po,,,02:10:00,,,,,16.0,,20.0,Yes,427.0,,,,,,,
2025-03-26,Mai Po,,,01:08:00,,,,,16.0,,,Yes,427.0,,,,,,,
2025-03-30,Mai Po,,,01:21:00,,,83.0,,16.0,,12.0,Yes,428.0,,,,,,,
2025-03-31,Mega Box,,,00:00:00,,,,,16.0,,,,,24.72,,,,,,
2025-04-12,One Pacific ,,,01:03:00,,,76.0,,16.0,,,Yes,428.0,,,,,,,
2025-04-15,Mai Po,,,01:06:00,,,71.0,,16.0,,10.0,Yes,428.0,,,,,,,
2025-04-19,Mai Po,,,03:37:00,,,249.0,,16.0,,34.0,Yes,423.0,,,,,,,
2025-04-25,Mai Po,,,01:18:00,,,87.0,,16.0,,12.0,Yes,428.0,,,,,,,
2025-04-29,Mai Po,,,01:28:00,,,95.0,,16.0,,,Yes,424.0,,,,,,,
2025-05-01,Disneyland,,,09:37:00,,,122.0,,10.0,,16.0,Yes,428.0,,,,,,,Sentry Mode on; A/C sometimes on.
2025-05-06,Heung Yuen Wai,,,00:00:00,,,,,28.0,38.0,,Yes,424.0,,,,,,,
2022-05-10,Mai Po,,,03:26:00,,,241.0,,16.0,,33.0,Yes,427.0,,,,,,,
2025-05-11,Mai Po,,,01:07:00,,,47.0,,32.0,,7.0,Yes,428.0,,,,,,,
2025-05-13,Mai Po,,,02:15:00,,,150.0,,16.0,,21.0,Yes,428.0,,,,,,,
2025-05-17,Mai Po,,,03:38:00,,,160.0,,32.0,,23.0,Yes,428.0,,,,,,,
2025-05-22,Mai Po,,,06:15:00,,,279.0,,32.0,44.0,39.0,Yes,428.0,,,,,,,
2025-05-24,Mai Po,,,02:06:00,,,142.0,,16.0,,20.0,Yes,428.0,,,,,,,
2025-05-31,Mai Po,,,00:00:00,,,281.0,,16.0,,39.0,Yes,428.0,,,,,,,
2025-06-05,Mai Po,,,00:00:00,,,64.0,,16.0,,,Yes,428.0,,,,,,,
2025-06-07,Mai Po,,,01:54:00,,,127.0,,16.0,,17.0,Yes,428.0,,,,,,,
2025-06-18,V City,,,00:00:00,,,,,,,30.35,,,99.9,,3.29,,,,
2025-06-30,Olympian City,,,03:13:00,,,228.0,,16.0,77.0,31.0,Yes,427.0,74.83,,,,,,
2025-07-01,Mai Po,,,00:49:00,,,53.0,,16.0,,7.0,Yes,427.0,,,,,,,
2025-07-06,Mai Po,,,04:14:00,,,310.0,,16.0,,43.0,Yes,427.0,,,,,,,
2025-07-12,Mai Po,,,00:00:00,,,78.0,,16.0,,10.0,Yes,426.0,,,,,,,
2025-07-26,Mai Po,,,01:48:00,,,127.0,,16.0,,18.0,Yes,426.0,,,,,,,
2025-08-02,Mai Po,,,00:59:00,,,60.0,,16.0,,,Yes,425.0,,,,,,,
2025-09-07,New Town,,,00:09:00,,,,50.0,,,8.0,,,16.3,56.0,2.04,,,,
2025-09-10,V Walk,,,00:00:00,,,,,,,,,,8.79,,3.2,,,,
2025-09-16,Olympian City,,,03:51:00,,,281.0,,16.0,76.0,40.0,Yes,424.0,92.9,,2.3225,0.3306049822,37310.0,,
2025-09-20,Gold Coast,,,00:48:00,,,,,16.0,,8.614,,,19.81,,,,,,
2025-09-20,Mai Po,,,01:19:00,,,93.0,,16.0,,,Yes,424.0,,,,,,,
2025-09-27,Tai Po Mega Mall,,,00:00:00,,,275.0,59.0,,,,,,105,17.0,,0.4436363636,,,
2025-09-27,Mai Po,,,00:58:00,,,42.0,,16.0,,,Yes,424.0,,,,,,,
2025-10-04,Mai Po,,,01:43:00,,,119.0,,16.0,,16.0,Yes,423.0,,,,,,,
2025-10-07,Mai Po,,,06:42:00,,,293.0,,32.0,45.0,,Yes,421.0,,,,,,,
2025-10-11,V Walk,,,00:08:00,,,74.0,,,560.0,11.463,,,38.4,,3.35,0.5189189189,39118.0,,
2025-10-12,Mai Po,,,01:44:00,,,123.0,,16.0,76.0,16.0,Yes,423.0,,,,,,,
2025-11-01,Go Park,,,00:00:00,,,,,,,38.0,,,,22.0,,,,,
2025-11-03,1 Kowloon,,,02:40:00,,,195.0,,,,26.0,Yes,422.0,30.15,,1.159615385,,,,
2025-11-09,Mai Po,,,00:33:00,,,35.0,,16.0,71.0,,Yes,422.0,,,,,41110.0,,
2025-11-19,Olympian City,,,01:53:00,,,,,16.0,,19.857,,,45.67,,2.3,,,,
2025-11-21,Mai Po,,,03:47:00,,,183.0,,32.0,44.0,25.0,Yes,422.0,,,,,,,
2022-11-22,Mai Po,,,01:15:00,,,84.0,,16.0,,12.0,Yes,422.0,,,,,41877.0,,
2025-11-29,Mai Po,,,03:03:00,,,108.0,,16.0,,,Yes,422.0,,,,,,,
